Title	URL	Status	Priority	Story Type	Estimate (Story Points)	Points Completed	Assignees	Contributors and % contribution	Quality Reviewer	Start date	End date (ready for QC by)	Deliverable / Sprint	Milestone
Fix Figures in Deliverable 1	https://github.com/COS420-F25/TeamD/issues/55	Done	High	Non-technical	1	1	ChaunceyCon		Mason P	Oct 6, 2025		D1	
System Requirements Specification	https://github.com/COS420-F25/TeamD/issues/40	Done	High	Non-technical	5	5	ChaunceyCon		Nathan  H	Oct 6, 2025		D1	
Build work environment, screenshot your website working and add it to Google Doc	https://github.com/COS420-F25/TeamD/issues/54	Done	High	Non-technical	1	1	ChaunceyCon, NathHayes, Peazlez, PineCubed, Xyrox47		Chauncy O	Oct 6, 2025		D1	
Bring this into Projects.	https://github.com/COS420-F25/TeamD/issues/37	Done	High	Non-technical	1	1	ChaunceyCon		Josh V	Oct 6, 2025		D1	
Create Sprint Backlog 1	https://github.com/COS420-F25/TeamD/issues/36	Done	High	Non-technical	2	2	ChaunceyCon		Xander W	Oct 6, 2025		D1	
Add non-technical stories	https://github.com/COS420-F25/TeamD/issues/43	Done	High	Non-technical	1	1	NathHayes		Chauncy O	Oct 6, 2025	Oct 13, 2025	D1	
Revise User story document	https://github.com/COS420-F25/TeamD/issues/34	Done	High	Non-technical	1	1	Peazlez		Josh V	Oct 6, 2025		D1	
Create Product Backlog	https://github.com/COS420-F25/TeamD/issues/35	Done	High	Non-technical	1	1	Peazlez		Xander W	Oct 6, 2025		D1	
Decide & add committed user stories	https://github.com/COS420-F25/TeamD/issues/42	Done	High	Non-technical	1	1	PineCubed		Nathan  H	Oct 6, 2025		D1	
functional requirements 1-10	https://github.com/COS420-F25/TeamD/issues/44	Done	High	Non-technical	1	1	Peazlez		Mason P	Oct 6, 2025		D1	
functional requirements 11-20	https://github.com/COS420-F25/TeamD/issues/45	Done	High	Non-technical	1	1	Xyrox47		Chauncy O	Oct 6, 2025		D1	
non-functional requirements (15)	https://github.com/COS420-F25/TeamD/issues/47	Done	High	Non-technical	1	1	Xyrox47		Mason P	Oct 6, 2025		D1	
